Cu und Si 17.11.2020 Brinz Vanelli

17.11.2020 15:43

Zeit [s]	Temperatur [K]	R_Probe_1 [Ohm]	R_Thermom [Ohm]	R_Probe_2 [Ohm]	
0.000000E+0	5.161851E+0	1.693000E-2	7.180900E+0	1.024600E+6
9.996037E-1	5.160423E+0	1.708000E-2	7.181290E+0	1.024600E+6
1.999974E+0	5.159435E+0	1.708000E-2	7.181560E+0	1.024600E+6
2.999393E+0	5.152711E+0	1.704000E-2	7.183400E+0	1.024600E+6
3.999459E+0	5.166321E+0	1.690000E-2	7.179680E+0	1.024600E+6
4.999282E+0	5.171459E+0	1.696000E-2	7.178280E+0	1.024600E+6
5.999798E+0	5.151397E+0	1.693000E-2	7.183760E+0	1.024600E+6
6.999817E+0	5.160057E+0	1.677000E-2	7.181390E+0	1.024600E+6
7.999891E+0	5.167275E+0	3.789000E-2	7.179420E+0	1.024600E+6
8.999908E+0	5.157460E+0	3.784000E-2	7.182100E+0	1.024600E+6
1.000034E+1	5.160899E+0	3.847000E-2	7.181160E+0	1.024600E+6
1.099991E+1	5.157753E+0	3.839000E-2	7.182020E+0	1.024600E+6
1.199993E+1	5.154902E+0	3.817000E-2	7.182800E+0	1.024600E+6
1.300024E+1	5.152893E+0	3.849000E-2	7.183350E+0	1.024600E+6
1.400039E+1	5.155852E+0	3.840000E-2	7.182540E+0	1.024600E+6
1.500002E+1	5.160643E+0	3.816000E-2	7.181230E+0	1.024600E+6
1.599967E+1	5.161009E+0	3.806000E-2	7.181130E+0	1.024600E+6
1.700069E+1	5.162547E+0	3.852000E-2	7.180710E+0	1.024600E+6
1.800121E+1	5.160533E+0	3.845000E-2	7.181260E+0	1.024600E+6
1.900159E+1	5.160716E+0	3.792000E-2	7.181210E+0	1.024600E+6
2.000178E+1	5.160497E+0	3.838000E-2	7.181270E+0	1.024600E+6
2.100177E+1	5.158813E+0	3.810000E-2	7.181730E+0	1.024600E+6
2.200344E+1	5.157972E+0	3.805000E-2	7.181960E+0	1.024600E+6
2.300302E+1	5.160387E+0	3.802000E-2	7.181300E+0	1.024600E+6
2.400343E+1	5.161668E+0	3.824000E-2	7.180950E+0	1.024600E+6
2.500263E+1	5.161046E+0	3.843000E-2	7.181120E+0	1.024600E+6
2.600329E+1	5.162400E+0	3.860000E-2	7.180750E+0	1.024600E+6
2.700301E+1	5.160167E+0	3.831000E-2	7.181360E+0	1.024600E+6
2.800286E+1	5.161448E+0	3.805000E-2	7.181010E+0	1.024600E+6
2.900303E+1	5.164855E+0	3.845000E-2	7.180080E+0	1.024600E+6
3.000298E+1	5.164122E+0	3.826000E-2	7.180280E+0	1.024600E+6
3.100310E+1	5.156729E+0	3.829000E-2	7.182300E+0	1.024600E+6
3.200298E+1	5.160204E+0	3.861000E-2	7.181350E+0	1.024600E+6
3.300303E+1	5.159655E+0	3.830000E-2	7.181500E+0	1.024600E+6
3.400315E+1	5.162547E+0	3.822000E-2	7.180710E+0	1.024600E+6
3.500294E+1	5.165295E+0	3.797000E-2	7.179960E+0	1.024600E+6
3.600230E+1	5.162803E+0	3.804000E-2	7.180640E+0	1.024600E+6
